adcode,name,center
130100,石家庄市,"114.514976,38.042007"
130200,唐山市,"118.180149,39.63068"
130300,秦皇岛市,"119.52022,39.888243"
130400,邯郸市,"114.53915,36.625849"
130500,邢台市,"114.49742,37.060227"
130600,保定市,"115.464523,38.874476"
130700,张家口市,"114.885895,40.768931"
130800,承德市,"117.962749,40.952942"
130900,沧州市,"116.838715,38.304676"
131000,廊坊市,"116.683546,39.538304"
131100,衡水市,"115.668987,37.739367"
140100,太原市,"112.549656,37.870451"
140200,大同市,"113.366749,40.09711"
140300,阳泉市,"113.580426,37.857094"
140400,长治市,"113.117394,36.195142"
140500,晋城市,"112.852022,35.491315"
140600,朔州市,"112.432906,39.331734"
140700,晋中市,"112.752633,37.688006"
140800,运城市,"111.007051,35.02667"
140900,忻州市,"112.734149,38.415958"
141000,临汾市,"111.51931,36.088581"
141100,吕梁市,"111.14454,37.518996"
150100,呼和浩特市,"111.748814,40.842127"
150200,包头市,"109.95315,40.621327"
150300,乌海市,"106.79415,39.655048"
150400,赤峰市,"118.887613,42.256876"
150500,通辽市,"122.243309,43.653566"
150600,鄂尔多斯市,"109.782473,39.608744"
150700,呼伦贝尔市,"119.77845,49.166536"
150800,巴彦淖尔市,"107.387767,40.742987"
150900,乌兰察布市,"113.132227,40.994526"
152200,兴安盟,"122.037796,46.082373"
152500,锡林郭勒盟,"116.047387,43.933212"
152900,阿拉善盟,"105.729135,38.851554"
210100,沈阳市,"123.464675,41.677576"
210200,大连市,"121.614786,38.913962"
210300,鞍山市,"122.994183,41.108239"
210400,抚顺市,"123.957053,41.881311"
210500,本溪市,"123.684984,41.486834"
210600,丹东市,"124.354419,40.000646"
210700,锦州市,"121.126859,41.096114"
210800,营口市,"122.219148,40.625027"
210900,阜新市,"121.670052,42.022028"
211000,辽阳市,"123.239669,41.267396"
211100,盘锦市,"122.170729,40.71956"
211200,铁岭市,"123.726008,42.223709"
211300,朝阳市,"120.488801,41.601855"
